Estado Start/Stop;Ambiente;App Name;Owner;COMPUTER NAME;RESOURCE GROUP;SUBSCRIPTION;LOCATION;SIZE;Schedule
Agendamento em progresso;QL;RDC;Jorge Rainha;qlsmartmngvms01;ne-ql-smart-mng-rg;DDD-CA Smart-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;RiskShield;João Carlos Jorge Travessa;dvrisksappsvc01;NE-DV-RISKS-APP-RG;CAS-RISKS-DV;North Europe;Standard_D4ds_v5;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;RiskShield;João Carlos Jorge Travessa;dvrisksdatsql01;NE-DV-RISKS-DAT-RG;CAS-RISKS-DV;North Europe;Standard_D4ds_v5;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;RiskShield;João Carlos Jorge Travessa;dvrisksengsvc01;NE-DV-RISKS-ENG-RG;CAS-RISKS-DV;North Europe;Standard_D4lds_v5;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;RiskShield;João Carlos Jorge Travessa;qlrisksappsvc01;ne-ql-risks-app-rg;CAS-RISKS-QL;North Europe;Standard_D4ds_v5;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;qlexperpltrun01;NE-QL-EXPER-INF-RG;DDA AEA QA;North Europe;Standard_B4ms;Sempre desligado
Inactivo;QL;;;qlfocusappsvc01;NE-QL-FOCUS-APP-RG;DDD-CALYP-QL;North Europe;Standard_D32s_v5;
Inactivo;QL;;;qlfocuscalsvc01;NE-QL-FOCUS-CAL-RG;DDD-CALYP-QL;North Europe;Standard_F64s_v2;
Inactivo;QL;;;qlfocusdatodb01;NE-QL-FOCUS-DAT-RG;DDD-CALYP-QL;North Europe;Standard_D32ds_v5;
Agendamento em progresso;QL;RiskShield;João Carlos Jorge Travessa;qlrisksdatsql01;NE-QL-RISKS-DAT-RG;CAS-RISKS-QL;North Europe;Standard_D4ds_v5;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;RiskShield;João Carlos Jorge Travessa;qlrisksengsvc01;NE-QL-RISKS-ENG-RG;CAS-RISKS-QL;North Europe;Standard_D4lds_v5;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;qlmenigpltaut01;NE-QL-MENIG-PLT-RG;DDA AEA QA;North Europe;Standard_B4ms;Desligar dias úteis das 20h às 8h e aos FDS
Inactivo;QL;;;qlmenigpltque01;NE-QL-MENIG-PLT-RG;DDA AEA QA;North Europe;Standard_B4ms;Desligar dias úteis das 20h às 8h e aos FDS
Agendamento em progresso;DV;Sifox;Paulino Carvalho;dvsifoxappsvc01;NE-DV-SIFOX-APP-RG;DDD-SIFOX-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;Sifox;Paulino Carvalho;dvsifoxdatodb01;NE-DV-SIFOX-DAT-RG;DDD-SIFOX-DV;North Europe;Standard_E4-2s_v3;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;PP;;;qlpconsappiis01;ne-ql-pcons-app-rg;DSP-SMGOV-PP;North Europe;Standard_B4ms;
Inactivo;PP;;;qlpconsdatsql01;ne-ql-pcons-dat-rg;DSP-SMGOV-PP;North Europe;Standard_B8ms;
Inactivo;PP;;;qlpconswfoiis01;ne-ql-pcons-wfo-rg;DSP-SMGOV-PP;North Europe;Standard_B4ms;
Agendamento em progresso;QL;Sifox;Paulino Carvalho;qlsifoxdatodb01;NE-QL-SIFOX-DAT-RG;DDD-SIFOX-QL;North Europe;Standard_E4s_v3;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;Sifox;Paulino Carvalho;qlsifoxintwbo01;ne-ql-sifox-int-rg;DDD-SIFOX-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;Sifox;Paulino Carvalho;qlsifoxintwfo01;NE-QL-SIFOX-INT-RG;DDD-SIFOX-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
